Model,RMSE,MAE,R2
Linear Regression,163.60883073856542,85.658293429634,0.2621215542625235
Random Forest,12.902656874950942,4.606800262252369,0.9954108776271533
Gradient Boosting,22.413021333843435,9.030131094807718,0.9861524752018884
CFT-Net,72.47709847755732,33.220790283963645,0.855198540332038
