,rmse_mean,rmse_std,mae_mean,mae_std,smape_mean,smape_std,r2_mean,r2_std,corr_mean,corr_std,ece_mean,ece_std,picp_raw_mean,picp_raw_std,picp_cal_mean,picp_cal_std,mpiw_raw_mean,mpiw_raw_std,mpiw_cal_mean,mpiw_cal_std,scale_factor_mean,scale_factor_std,p_smape
Ours (Full),78.10341962627257,14.750948927812916,39.93200340270996,7.168281788132324,23.254484176635742,5.409708023071289,0.8166141748428345,0.05350653456474285,0.15627712879841868,0.1920779364361052,0.025715236512946216,0.013432585855148317,2.985244040862656,1.70903065063477,31.32803632236095,4.564880936414896,0.5272092702594026,0.06477105010391317,17.77380678948912,2.183626495650397,33.713,0.0,
w/o Transformer,118.56335281059243,17.875427606283317,48.4066162109375,10.533785601508951,24.549970626831055,7.148519992828369,0.5774829626083374,0.10328883327435695,0.43720020299163564,0.12878172354078832,0.2632795670258979,0.02524525872903297,5.03972758229285,1.254628837249072,68.422247446084,17.65849787287062,1.2179260361571498,0.0933614788274374,68.79681298942008,26.12836695807857,57.33019598468496,23.111089253273946,0.5
w/o Dual-Tower,57.302265258806486,18.140864494893176,27.03219356536865,12.31510865288517,16.29085922241211,8.889012336730957,0.8908491015434266,0.06051697137764589,0.08638429590167625,0.09130213820512617,0.09618229691729914,0.03436644923577585,4.154370034052214,1.9155526092829955,50.31782065834279,20.80615317585909,0.5811225991001032,0.11876874556296363,20.12395547436384,3.465515493951222,34.87098449198734,2.589332040974261,0.96875
