Variant,RMSE,MAE,R2
Single Tower,27.189233062579202,11.907047271728516,0.9774391055107117
Dual Tower (No Attention),23.984166326453792,16.448760986328125,0.9824445843696594
Full CFT-Net,155.25425215593935,90.00851440429688,0.2643870711326599
