Model,sMAPE,MAPE,MAE,RMSE,R2,Corr,ECE
Linear Regression,56.72248418084719,66.68288562901674,85.65829342964376,163.60883073851548,0.2621215542629739,,
Random Forest,3.4768207132182143,3.4631775568808796,4.576695637477271,12.764890768377931,0.9955083537180519,,
Gradient Boosting,5.893876694426929,5.997805146979235,9.030131094807738,22.413021333843478,0.9861524752018883,,
CFT-Net,14.00282856795006,12.793226186858412,32.64255525898215,97.70793756464535,0.7368332391992402,0.5625537215865424,32.19946654083047
