,rmse_mean,rmse_std,mae_mean,mae_std,r2_mean,r2_std,spearman_mean,spearman_std,ece_mean,ece_std,p_vs_ours
Ours (Full),34.36996282913892,5.31372956205077,13.28884506225586,3.335091056334543,0.9639363527297974,0.010799188980210081,0.2656397744136491,0.15649686128954282,0.03738706892720241,0.02475366329443358,
w/o Transformer (MLP),102.05763298792853,4.066869356271075,40.85640029907226,1.8657294300992822,0.6884096741676331,0.018092896799278453,0.6454810371719134,0.07227061207203905,0.17235619526430995,0.02336990873710024,0.03125
w/o Dual-Tower (Single),36.326337769390626,7.649315592668053,14.472604751586914,3.8340555903632736,0.9589677333831788,0.01766747490685228,0.18611237233718664,0.1596502667441967,0.07294376575213167,0.031418622424297306,0.21875
w/o Robust EUB (KL),31.61677554905101,6.999610844204355,14.030011749267578,5.686296712807021,0.969030499458313,0.014542975937617985,0.31052531077897705,0.1902393806023786,0.042532008016072036,0.021228220856404533,0.84375
