Model,RMSE,MAE,R2
Linear Regression,202.9194069553527,116.03575717675294,0.011664878103778253
Random Forest,40.84353418414007,29.241301416541877,0.9599591130459375
Gradient Boosting,46.81857559063348,24.6014187409159,0.9473869530866389
CFT-Net (10 algorithms),20.898674786352963,8.664512253269274,0.9895167834828813
