run_id,exp_type,file_size_mb,scenario,cpu_quota,threads,chunk_kb,duration_s,throughput_mbps,cost_cpu_seconds,efficiency_mb_per_cpus,bytes_downloaded,exit_code
245,probe_large,300,Edge_Normal,0.5,16,1024,170.925,14.78,1.838647,163.16,314572800,0
246,probe_large,300,Edge_Normal,0.5,16,4096,167.178,15.11,1.945279,154.22,314572800,0
247,probe_large,300,Edge_Normal,1.0,4,1024,580.253,4.34,2.106044,142.45,314572800,0
249,probe_large,300,Edge_Normal,1.0,8,1024,300.671,8.38,2.008453,149.37,314572800,0
250,probe_large,300,Edge_Normal,1.0,8,4096,287.225,8.77,2.006465,149.52,314572800,0
251,probe_large,300,Edge_Normal,1.0,16,1024,174.387,14.46,1.877745,159.77,314572800,0
252,probe_large,300,Edge_Normal,1.0,16,4096,166.284,15.17,1.980983,151.44,314572800,0
253,probe_large,300,Edge_Normal,2.0,4,1024,593.859,4.24,2.073102,144.71,314572800,0
254,probe_large,300,Edge_Normal,2.0,4,4096,570.046,4.42,2.011357,149.15,314572800,0
255,probe_large,300,Edge_Normal,2.0,8,1024,311.806,8.08,1.929715,155.46,314572800,0
256,probe_large,300,Edge_Normal,2.0,8,4096,292.307,8.62,1.94531,154.22,314572800,0
257,probe_large,300,Edge_Normal,2.0,16,1024,180.192,13.99,1.874751,160.02,314572800,0
258,probe_large,300,Edge_Normal,2.0,16,4096,172.326,14.63,1.887443,158.95,314572800,0
259,probe_large,300,Cloud_Fast,0.5,4,1024,3.537,854.01,0.60689,494.32,314572800,0
260,probe_large,300,Cloud_Fast,0.5,4,4096,3.509,860.26,0.645291,464.91,314572800,0
261,probe_large,300,Cloud_Fast,0.5,8,1024,3.568,843.86,0.642384,467.01,314572800,0
262,probe_large,300,Cloud_Fast,0.5,8,4096,3.516,874.05,0.696214,430.9,314572800,0
263,probe_large,300,Cloud_Fast,0.5,16,1024,3.346,923.75,0.789546,379.97,314572800,0
264,probe_large,300,Cloud_Fast,0.5,16,4096,3.585,840.44,0.85866,349.38,314572800,0
265,probe_large,300,Cloud_Fast,1.0,4,1024,3.044,929.48,0.583672,513.99,314572800,0
266,probe_large,300,Cloud_Fast,1.0,4,4096,3.046,929.38,0.641743,467.48,314572800,0
267,probe_large,300,Cloud_Fast,1.0,8,1024,3.369,830.24,0.638693,469.71,314572800,0
268,probe_large,300,Cloud_Fast,1.0,8,4096,3.183,885.03,0.70016,428.47,314572800,0
269,probe_large,300,Cloud_Fast,1.0,16,1024,3.347,835.98,0.754576,397.57,314572800,0
270,probe_large,300,Cloud_Fast,1.0,16,4096,3.249,863.86,0.847296,354.07,314572800,0
271,probe_large,300,Cloud_Fast,2.0,4,1024,3.146,895.79,0.605901,495.13,314572800,0
272,probe_large,300,Cloud_Fast,2.0,4,4096,3.047,929.13,0.627971,477.73,314572800,0
273,probe_large,300,Cloud_Fast,2.0,8,1024,3.286,853.71,0.647285,463.47,314572800,0
274,probe_large,300,Cloud_Fast,2.0,8,4096,3.036,932.44,0.693198,432.78,314572800,0
275,probe_large,300,Cloud_Fast,2.0,16,1024,3.286,854.09,0.771849,388.68,314572800,0
276,probe_large,300,Cloud_Fast,2.0,16,4096,3.319,845.38,0.85341,351.53,314572800,0
